Min of_Score (%),Max of_Score (%),Label,Count
0,0.03,0-0.03,"34,881,442"
0.03,0.06,0.03-0.06,0
0.06,0.09,0.06-0.09,"613,376"
0.09,0.13,0.09-0.13,"22,673,456"
0.13,0.16,0.13-0.16,"62,226"
0.16,0.19,0.16-0.19,138
0.19,0.22,0.19-0.22,"7,179,424"
0.22,0.25,0.22-0.25,"1,370"
0.25,0.28,0.25-0.28,"4,803,110"
0.28,0.31,0.28-0.31,422
0.31,0.34,0.31-0.34,43
0.34,0.38,0.34-0.38,"1,046,520"
0.38,0.41,0.38-0.41,"115,627,765"
0.41,0.44,0.41-0.44,912
0.44,0.47,0.44-0.47,"539,227"
0.47,0.5,0.47-0.5,"43,668,369"
0.5,0.53,0.5-0.53,"3,307"
0.53,0.56,0.53-0.56,"41,754,546"
0.56,0.59,0.56-0.59,"1,061,131"
0.59,0.63,0.59-0.63,"1,780"
0.63,0.66,0.63-0.66,"15,600,162"
0.66,0.69,0.66-0.69,759
0.69,0.72,0.69-0.72,163
0.72,0.75,0.72-0.75,"5,562,142"
0.75,0.78,0.75-0.78,"498,326"
0.78,0.81,0.78-0.81,"1,007"
0.81,0.84,0.81-0.84,0
0.84,0.88,0.84-0.88,"13,469,861"
0.88,0.91,0.88-0.91,801
0.91,0.94,0.91-0.94,0
0.94,0.97,0.94-0.97,0
0.97,1,0.97-1,"4,356,915"
